Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
MAG,Haas F1 Team,5,6.0,MEDIUM,HARD
RIC,AlphaTauri,7,8.0,MEDIUM,HARD
ALO,Aston Martin,12,13.0,MEDIUM,HARD
HUL,Haas F1 Team,13,14.0,MEDIUM,HARD
PIA,McLaren,13,14.0,MEDIUM,HARD
ZHO,Alfa Romeo,13,14.0,MEDIUM,HARD
NOR,McLaren,14,15.0,MEDIUM,HARD
RUS,Mercedes,14,15.0,MEDIUM,HARD
HAM,Mercedes,15,16.0,MEDIUM,HARD
OCO,Alpine,15,16.0,MEDIUM,HARD
SAR,Williams,15,16.0,MEDIUM,HARD
ALB,Williams,16,17.0,MEDIUM,HARD
VER,Red Bull Racing,16,17.0,MEDIUM,HARD
GAS,Alpine,17,18.0,MEDIUM,HARD
LEC,Ferrari,17,18.0,MEDIUM,HARD
PER,Red Bull Racing,17,18.0,MEDIUM,HARD
MAG,Haas F1 Team,22,23.0,HARD,HARD
STR,Aston Martin,22,23.0,HARD,HARD
TSU,AlphaTauri,22,23.0,MEDIUM,HARD
SAI,Ferrari,23,24.0,HARD,HARD
BOT,Alfa Romeo,29,30.0,HARD,MEDIUM
RIC,AlphaTauri,31,32.0,HARD,HARD
GAS,Alpine,32,33.0,HARD,HARD
HUL,Haas F1 Team,33,34.0,HARD,HARD
NOR,McLaren,33,34.0,HARD,HARD
RUS,Mercedes,34,35.0,HARD,HARD
HAM,Mercedes,35,36.0,HARD,HARD
LEC,Ferrari,35,36.0,HARD,HARD
ALO,Aston Martin,36,37.0,HARD,HARD
PIA,McLaren,36,37.0,HARD,HARD
ZHO,Alfa Romeo,37,38.0,HARD,MEDIUM
SAR,Williams,41,42.0,HARD,HARD
PER,Red Bull Racing,42,43.0,HARD,HARD
STR,Aston Martin,42,43.0,HARD,MEDIUM
ALB,Williams,43,44.0,HARD,HARD
VER,Red Bull Racing,43,44.0,HARD,HARD
SAI,Ferrari,56,57.0,HARD,SOFT
SAI,Ferrari,57,,SOFT,
